building_id,uid,tile_id,gt_label,gt_label_idx,p_nodmg,p_minor,p_major,p_dest,pred_argmax,confidence_max,margin_top1_top2,entropy
socal-fire_00001273:03a0ef10-42ef-41d8-a8a1-e9fee33928bb,03a0ef10-42ef-41d8-a8a1-e9fee33928bb,socal-fire_00001273,no-damage,0,0.996468,0.000281,0.000015,0.003236,0,0.996468,0.993232,0.024546
socal-fire_00001273:0a340ee4-ede0-448a-a327-31bebd5a42df,0a340ee4-ede0-448a-a327-31bebd5a42df,socal-fire_00001273,no-damage,0,0.970378,0.009973,0.000016,0.019633,0,0.970378,0.950745,0.152483
socal-fire_00001273:3a869eb6-c4ec-453c-b272-a96d7e65b815,3a869eb6-c4ec-453c-b272-a96d7e65b815,socal-fire_00001273,no-damage,0,0.986818,0.001795,0.002991,0.008395,0,0.986818,0.978423,0.081961
socal-fire_00001273:3ebbf0f7-2ad2-4ee1-a74d-923d6f85a97a,3ebbf0f7-2ad2-4ee1-a74d-923d6f85a97a,socal-fire_00001273,no-damage,0,0.998542,0.000074,0.000000,0.001385,0,0.998542,0.997157,0.011273
socal-fire_00001273:60610f8a-d29b-4092-a969-0091ac926aa0,60610f8a-d29b-4092-a969-0091ac926aa0,socal-fire_00001273,no-damage,0,0.896968,0.000802,0.001802,0.100428,0,0.896968,0.796540,0.345450
socal-fire_00001273:6bfb7d33-5d88-4444-bcac-a1c5c769c7e1,6bfb7d33-5d88-4444-bcac-a1c5c769c7e1,socal-fire_00001273,no-damage,0,0.999330,0.000049,0.000460,0.000161,0,0.999330,0.998870,0.006095
socal-fire_00001273:6d2a71e8-fb0b-4749-aa3c-2d01b9c78061,6d2a71e8-fb0b-4749-aa3c-2d01b9c78061,socal-fire_00001273,no-damage,0,0.985732,0.000841,0.000015,0.013412,0,0.985732,0.972320,0.078117
socal-fire_00001273:72ff9373-eb5e-4115-b171-fe33f2c6a1ea,72ff9373-eb5e-4115-b171-fe33f2c6a1ea,socal-fire_00001273,no-damage,0,0.573060,0.000496,0.000035,0.426409,0,0.573060,0.146651,0.686646
socal-fire_00001273:88fc0f76-ae06-4a0a-be93-93223dcd0c1c,88fc0f76-ae06-4a0a-be93-93223dcd0c1c,socal-fire_00001273,no-damage,0,0.994248,0.000134,0.000001,0.005617,0,0.994248,0.988631,0.036046
socal-fire_00001273:8b46ed9c-f503-46d7-99a4-971949d04e13,8b46ed9c-f503-46d7-99a4-971949d04e13,socal-fire_00001273,no-damage,0,0.811423,0.185618,0.000010,0.002950,0,0.811423,0.625805,0.499449
socal-fire_00001273:9757231d-4024-4a55-82d9-7ca8f42d3565,9757231d-4024-4a55-82d9-7ca8f42d3565,socal-fire_00001273,no-damage,0,0.901056,0.004647,0.008497,0.085799,0,0.901056,0.815257,0.370058
socal-fire_00001273:a172b053-8c51-4602-87ec-a74ce52d3f4e,a172b053-8c51-4602-87ec-a74ce52d3f4e,socal-fire_00001273,no-damage,0,0.866636,0.001893,0.000006,0.131465,0,0.866636,0.735170,0.402732
socal-fire_00001273:a43eaaa3-8f8e-4e1f-931a-f72610daedd2,a43eaaa3-8f8e-4e1f-931a-f72610daedd2,socal-fire_00001273,no-damage,0,0.319937,0.008469,0.000798,0.670795,3,0.670795,0.350858,0.678556
socal-fire_00001273:a9417c63-e2ef-4b85-9452-2feb1c360680,a9417c63-e2ef-4b85-9452-2feb1c360680,socal-fire_00001273,no-damage,0,0.997525,0.000007,0.000000,0.002468,0,0.997525,0.995058,0.017374
socal-fire_00001273:adbefa35-5b7a-4270-bc05-7ddd8dd1cd73,adbefa35-5b7a-4270-bc05-7ddd8dd1cd73,socal-fire_00001273,no-damage,0,0.693308,0.002580,0.000000,0.304112,0,0.693308,0.389197,0.631328
socal-fire_00001273:b2185fd1-4a1e-4a5c-b0e2-01dd7b4e1410,b2185fd1-4a1e-4a5c-b0e2-01dd7b4e1410,socal-fire_00001273,no-damage,0,0.971416,0.000064,0.000028,0.028491,0,0.971416,0.942925,0.130466
socal-fire_00001273:b89df44d-486b-491a-b55e-e49f0799f863,b89df44d-486b-491a-b55e-e49f0799f863,socal-fire_00001273,no-damage,0,0.992021,0.004952,0.002207,0.000820,0,0.992021,0.987069,0.053557
socal-fire_00001273:c55d94e3-53b9-4cb7-a1d7-56f1f75fe6f9,c55d94e3-53b9-4cb7-a1d7-56f1f75fe6f9,socal-fire_00001273,no-damage,0,0.929805,0.000108,0.000702,0.069386,0,0.929805,0.860419,0.258879
socal-fire_00001273:c79c3dd7-09c4-453e-bdb8-3571786bd8fe,c79c3dd7-09c4-453e-bdb8-3571786bd8fe,socal-fire_00001273,no-damage,0,0.936044,0.000012,0.000024,0.063920,0,0.936044,0.872124,0.238048
socal-fire_00001273:c7c16351-61ca-4025-bb7a-e3161d8d45a1,c7c16351-61ca-4025-bb7a-e3161d8d45a1,socal-fire_00001273,no-damage,0,0.591620,0.000001,0.000002,0.408377,0,0.591620,0.183242,0.676303
socal-fire_00001273:c9c19dd9-f65b-447b-b76b-fff77fb601bd,c9c19dd9-f65b-447b-b76b-fff77fb601bd,socal-fire_00001273,no-damage,0,0.992654,0.002527,0.000039,0.004780,0,0.992654,0.987873,0.048371
socal-fire_00001273:d63e8187-1845-4edf-ad3d-b8fb7375f3d4,d63e8187-1845-4edf-ad3d-b8fb7375f3d4,socal-fire_00001273,no-damage,0,0.819632,0.000211,0.000215,0.179942,0,0.819632,0.639690,0.475251
