building_id,tile_id,uid,minor_score,major_score,final_minor_score,final_major_score,final_triage_score,vlm_reviewed,vlm_label,vlm_reasoning,gt_label
socal-fire_00000482:1e0e0071-1f15-4dac-afe3-5e2c954de4b8,socal-fire_00000482,1e0e0071-1f15-4dac-afe3-5e2c954de4b8,0.014711,0.332769,0.014711,0.632769,0.632769,1,major-damage,,major-damage
socal-fire_00000145:976e2ad2-ec5d-42eb-a020-b60b7768310f,socal-fire_00000145,976e2ad2-ec5d-42eb-a020-b60b7768310f,0.009694,0.328732,0.009694,0.628732,0.628732,1,major-damage,,major-damage
santa-rosa-wildfire_00000028:9c8d4526-29be-4fa0-a8d1-6f3bb23dd990,santa-rosa-wildfire_00000028,9c8d4526-29be-4fa0-a8d1-6f3bb23dd990,0.004311,0.327326,0.004311,0.627326,0.627326,1,major-damage,,destroyed
socal-fire_00000885:cb7b7bdd-531e-468b-9dbc-d93c9a539d70,socal-fire_00000885,cb7b7bdd-531e-468b-9dbc-d93c9a539d70,0.003296,0.292634,0.003296,0.592634,0.592634,1,major-damage,,destroyed
socal-fire_00000882:e712b151-104f-4182-ae3a-7eb6299e677e,socal-fire_00000882,e712b151-104f-4182-ae3a-7eb6299e677e,0.002766,0.290359,0.002766,0.590359,0.590359,1,major-damage,,no-damage
socal-fire_00001061:c783919f-58a2-42cc-975f-7fa579ae240f,socal-fire_00001061,c783919f-58a2-42cc-975f-7fa579ae240f,0.016312,0.281862,0.016312,0.581862,0.581862,1,major-damage,,major-damage
socal-fire_00001022:569a7f7c-a7e2-4cc6-9307-e34bdf797385,socal-fire_00001022,569a7f7c-a7e2-4cc6-9307-e34bdf797385,0.00278,0.263876,0.00278,0.563876,0.563876,1,major-damage,,destroyed
socal-fire_00000942:e3da61a6-1409-4a25-981d-50e08b6d3ee3,socal-fire_00000942,e3da61a6-1409-4a25-981d-50e08b6d3ee3,0.007159,0.256034,0.007159,0.556034,0.556034,1,major-damage,,destroyed
socal-fire_00000356:dc4d3e4c-b3c4-463b-ac98-91a7453e7ccc,socal-fire_00000356,dc4d3e4c-b3c4-463b-ac98-91a7453e7ccc,0.006874,0.203714,0.006874,0.503714,0.503714,1,major-damage,,major-damage
santa-rosa-wildfire_00000052:0d070337-edb0-48de-951e-8cc8cc46409e,santa-rosa-wildfire_00000052,0d070337-edb0-48de-951e-8cc8cc46409e,0.011333,0.192653,0.011333,0.492653,0.492653,1,major-damage,,major-damage
santa-rosa-wildfire_00000102:fa2a7749-e8d8-432a-b0c8-2a50c25f159f,santa-rosa-wildfire_00000102,fa2a7749-e8d8-432a-b0c8-2a50c25f159f,0.051096,0.192633,0.051096,0.492633,0.492633,1,major-damage,,destroyed
santa-rosa-wildfire_00000273:05457496-2673-400c-835d-8a76970e0110,santa-rosa-wildfire_00000273,05457496-2673-400c-835d-8a76970e0110,0.040198,0.159193,0.040198,0.459193,0.459193,1,major-damage,,no-damage
socal-fire_00001230:2fde1549-ce7e-4d39-a127-50bf2e96a966,socal-fire_00001230,2fde1549-ce7e-4d39-a127-50bf2e96a966,0.00476,0.142484,0.00476,0.442484,0.442484,1,major-damage,,major-damage
socal-fire_00000170:998722b7-0e84-4d34-8772-ae0f978fb963,socal-fire_00000170,998722b7-0e84-4d34-8772-ae0f978fb963,0.004272,0.128952,0.004272,0.428952,0.428952,1,major-damage,,destroyed
